date	resort	author	article	article-cicker	workload-index	
31.12.2019 06:00:00	etat	Astrid Ebenführer	Pop Around the Clock, Wir sind Kaiser, Ein echter Wiener geht nicht unter: TV-Tipps für Silvester	Switchlist	12137
31.12.2019 15:11:00	wissenschaft	APA	Physiker und Autor Peter Maria Schuster 80-jährig gestorben	1939-2019	4321
31.12.2019 09:30:00	wissenschaft	APA	Silvester im All: ISS-Besatzung kann 15 Mal das neue Jahr begrüßen	Diesmal ohne Kaviar	8164
31.12.2019 13:00:00	wissenschaft	jdo	Synchroner Paarlauf: Was hinter der "Schimpansen-Conga" steckt	Tierisches Verhalten	7272
31.12.2019 11:00:00	wissenschaft	Alicia Prager	Kuratorin will Debatten über Raubkunst fördern	Geistesblitz	7297
31.12.2019 09:30:00	wissenschaft	red	Silvester im All: ISS-Besatzung kann 15 Mal das neue Jahr begrüßen	Diesmal ohne Kaviar	8164
31.12.2019 08:00:00	wissenschaft	Doris Griesser	Die Wissenschaft der guten Vorsätze	Neujahrspläne	12986
01.01.2020 20:11:00	international	mesc	Israels Premier Netanjahu will Immunität gegen Strafverfolgung	Anklage	9494
01.01.2020 20:11:00	international	red	Israels Premier Netanjahu will Immunität gegen Strafverfolgung	Anklage	9494
01.01.2020 17:55:00	international	Manuel Escher	Nordkorea droht der Welt mit "schockierender Aktion", bleibt aber gesprächsbereit	Konflikt Nordkorea/USA	11655
01.01.2020 16:50:00	international	Stefan Brändle aus Paris	Macron und die Gewerkschaften stecken fest	Frankreich	11813
01.01.2020 16:27:00	international	Gianluca Wallisch	Drei Viertel wollen nichts vom "Öxit" wissen	Befragung	7269
01.01.2020 15:48:00	international	maa	Botschaftsbelagerung im Irak heizt Konflikt zwischen Iran und USA an	Proteste	10108
01.01.2020 15:48:00	international	dpa	Botschaftsbelagerung im Irak heizt Konflikt zwischen Iran und USA an	Proteste	10108
01.01.2020 15:45:00	international	APA	Über eine Million Demonstranten am Neujahrstag auf Hongkongs Straßen	Massenprotest	4337
01.01.2020 14:59:00	international	APA	Mindestens 31 Sicherheitskräfte in Afghanistan getötet	Taliban	4198
01.01.2020 14:51:00	international	APA	Kroatien übernimmt den EU-Ratsvorsitz	Zagreb – Brüssel	9064
01.01.2020 14:40:00	international	APA	Albanien übernimmt Vorsitz der OSZE	2020	6702
01.01.2020 12:18:00	international	APA	Buschfeuer: Australische Marine will Eingeschlossenen helfen	Hilfsmaßnahmen	6634
01.01.2020 09:39:00	international	APA	Macron hält an umstrittener Pensionsreform fest	Neujahrsansprache	6967
01.01.2020 12:00:00	international	Thomas Mayer aus Brüssel	25 Jahre in der EU: Zufriedenheit und Skepsis unter Europas Schirm	Jubiläum	27751
01.01.2020 12:00:00	international	vos	Österreichs europäische Momente: Was Wien seit dem Beitritt bewegt hat	Neues Jahrzehnt in der EU	8504
01.01.2020 20:21:00	inland	red	Kurz und Kogler geben noch heute Abend Erklärung ab	Regierung	11967
01.01.2020 10:45:00	inland	red	Plastiksackerlverbot tritt in Kraft	2020	4345
01.01.2020 20:21:00	inland	APA	Kurz und Kogler geben noch heute Abend Erklärung ab	Regierung	11967
01.01.2020 17:01:00	inland	APA	Van der Bellen lobt Mut und Zuversicht der Österreicher im Jahr 2019	Neujahrsansprache	8551
01.01.2020 10:45:00	inland	APA	Plastiksackerlverbot tritt in Kraft	2020	4345
01.01.2020 18:38:00	inland	Nina Weißensteiner	Sozialminister Rudi Anschober: Grüner Veteran muss Türkis Paroli bieten	Regierungsriege	7440
01.01.2020 15:35:00	wirtschaft	APA	Germanwings-Ausstand endet planmäßig	Luftfahrt	4390
01.01.2020 15:35:00	wirtschaft	Reuters	Germanwings-Ausstand endet planmäßig	Luftfahrt	4390
01.01.2020 08:00:00	wirtschaft	Birgit Baumann	Warum uns ein Grundeinkommen nicht erlöst	Streitgespräch	20572
01.01.2020 17:21:00	web	red	Netflix statt GIS-Gebühr: Harte Zeiten für klassische TV-Sender	2020	8249
01.01.2020 08:52:00	web	red	Rassistischer Hass gegen Grüne Zadić nach Posting von FPÖ-Politiker	Hass im Netz	8024
01.01.2020 17:18:00	web	APA	Klassik Stiftung Weimar soll digitale Forschungsplattform bekommen	.de	3196
01.01.2020 09:28:00	web	APA	Google verabschiedet sich von legalen Steuerschlupflöchern in Europa	Steuer	5888
01.01.2020 17:08:00	web	Andreas Grote	Galileo: Immer mehr Smartphones unterstützen europäische Satellitenortung	Statt GPS	10544
01.01.2020 10:18:00	web	sum	Kostenloser Umstieg von Windows 7 auf Windows 10 weiterhin möglich	OS	7501
01.01.2020 20:41:00	sport	'sofa-standings-embed-1-23776'	Hasenhüttl gewinnt Duell mit Mourinho, Fallrückzieher schockt Chelsea	Premier League	14062
01.01.2020 12:29:00	sport	'sofa-standings-embed-1-23776'	ManCity laut Guardiola "Englands bestes Team der vergangenen Dekade"	Premier League	6892
01.01.2020 12:18:00	sport	'sofa-standings-embed-1-23776'	Negative Bilanz: Chelsea mit über 110 Millionen Euro Jahresverlust	FC Chelsea	4263
01.01.2020 16:02:00	sport	Fritz Neumann aus Garmisch-Partenkirchen	Lindvik gewinnt Neujahrsspringen, Kraft aus Tourneerennen	Vierschanzentournee	20713
01.01.2020 13:34:00	sport	APA/dpa	Kubica wird Ersatzpilot bei Alfa Romeo	Formel 1	3907
01.01.2020 13:12:00	sport	'sofa-standings-embed-42-23538'	Bayern für Katar-Trainingslager in Kritik: "Menschenrechte fliegen davon"	FC Bayern München	10525
01.01.2020 12:06:00	sport	Jakob Pöltl mit vier Punkten	Spurs starteten mit Sieg und Pöltl-Dunk ins neue Jahr	NBA	7054
01.01.2020 12:06:00	sport	sieben Rebounds	Spurs starteten mit Sieg und Pöltl-Dunk ins neue Jahr	NBA	7054
01.01.2020 08:00:00	sport	Wolfgang Weisgram	In die Zukunft geschaut: Keiner ist am Ball geblieben	Sport	17425
01.01.2020 06:05:00	sport	sid	Der bunte Schotte begegnet im WM-Finale seinem grünen Fluch	Darts	10147
01.01.2020 20:49:00	panorama	APA	Pazifikstaat Palau verbietet aus Umweltschutzgründen Sonnencremes	Korallen gefährdet	5909
01.01.2020 20:04:00	panorama	APA	US-Bundesstaat Illinois legalisiert Cannabis als Genussmittel	Weißer Rauch in Chicago	8341
01.01.2020 18:38:00	panorama	APA	Papst entschuldigt sich für Schlag auf Gelenk von handgreiflicher Gläubiger	"Oft verlieren wir die Geduld"	4998
01.01.2020 17:58:00	panorama	APA	Nach verheerendem Feuer in Krefelder Affenhaus melden sich mögliche Verursacher	Brand	7537
01.01.2020 17:48:00	panorama	APA	Lungenkrankheit in China ausgebrochen, Regierung dementiert Sars-Gerüchte	Epidemie	8654
01.01.2020 14:52:00	panorama	APA	800.000 Besucher feierten am Wiener Silvesterpfad	Prosit Neujahr!	6045
01.01.2020 14:25:00	panorama	APA	Vier falsche Polizisten in der Steiermark enttarnt	Fake	3908
01.01.2020 14:10:00	panorama	APA	Österreichs Neujahrsbaby in Salzburg geboren	Licht der Welt	8180
01.01.2020 12:20:00	panorama	APA	Neugeborenes in Graz abgelegt: Polizei forschte Mutter aus	Steiermark	5633
01.01.2020 11:16:00	panorama	APA	Zwei Schwerverletzte durch Böller in Wien	Feuerwerkskörper	5326
01.01.2020 18:38:00	panorama	red	Papst entschuldigt sich für Schlag auf Gelenk von handgreiflicher Gläubiger	"Oft verlieren wir die Geduld"	4998
01.01.2020 17:48:00	panorama	red	Lungenkrankheit in China ausgebrochen, Regierung dementiert Sars-Gerüchte	Epidemie	8654
