30.01.2020 08:22:19	Failed to decode response from marionette	while aggreeing the cookies or getting IWebElement article in resort wissenschaft
30.01.2020 09:25:21	Reached error page: about:neterror?e=dnsNotFound&u=https%3A//www.derstandard.at/international&c=UTF-8&f=regular&d=Die%20Verbindung%20mit%20dem%20Server%20www.derstandard.at%20schlug%20fehl.	while analyzing resort international
